Distance_m,Profile_mm
0.0,-7.56696719188267
0.001,-7.3637432212011
0.002,-7.3506480012883
0.003,-7.38410442275135
0.004,-7.48051628968486
0.005,-7.5616443087652
0.006,-7.43380722125618
0.007,-7.35944632697339
0.008,-7.44894497224078
0.009,-7.57252579875098
0.01,-7.91760414194854
0.011,-8.35295370190331
0.012,-8.71261558166533
0.013,-8.93682655069148
0.014,-8.94556866842122
0.015,-8.92181504822745
0.016,-8.86187538607668
0.017,-8.92401258345008
0.018,-9.06561208131045
0.019,-9.03195315373975
0.02,-9.00587449000396
0.021,-9.03827662348623
0.022,-9.11010695000614
0.023,-8.88216040932154
0.024,-8.26398584255605
0.025,-7.68348561852541
0.026,-7.37641247589533
0.027,-7.55268602964826
0.028,-7.72699439733331
0.029,-7.76958470346215
0.03,-8.09317382918411
0.031,-8.32717565616032
0.032,-8.38498833507022
0.033,-8.31211247042723
0.034,-8.20457323600634
0.035,-8.28497802508348
0.036,-8.3566638794122
0.037,-8.4260094279216
0.038,-8.39562512241956
0.039,-8.30221115407635
0.04,-8.28565756286342
0.041,-8.27052870034086
0.042,-8.37874773112073
0.043,-8.45399708953434
0.044,-8.50672911351958
0.045,-8.40707004267689
0.046,-8.05540345904062
0.047,-7.97524582927391
0.048,-8.11715421307286
0.049,-8.35652744413589
0.05,-8.45670633217765
0.051,-8.30595589213001
0.052,-8.23011621147663
0.053,-8.05649359898452
0.054,-8.0483767146874
0.055,-8.26767898591078
0.056,-8.47087929228011
0.057,-8.71971836812061
0.058,-8.80412475042468
0.059,-8.77003175106999
0.06,-8.36490218431201
0.061,-7.76143132602962
0.062,-7.50445164524028
0.063,-7.41402603002486
0.064,-7.4166014873618
0.065,-7.24327556769529
0.066,-7.09770941748041
0.067,-7.33791945029746
0.068,-7.57409914221548
0.069,-7.7164062129916
0.07,-7.88789759782315
0.071,-8.25680123181567
0.072,-8.6424313680901
0.073,-8.72349004176799
0.074,-8.72935450931742
0.075,-8.71278549178263
0.076,-8.5562027227219
0.077,-8.20027355246102
0.078,-7.6612986174005
0.079,-7.30402175679344
0.08,-7.2828521223996
0.081,-7.41396752795489
0.082,-7.53419298287027
0.083,-7.62704659605864
0.084,-7.91883192369178
0.085,-8.32331914955054
0.086,-8.54821990547268
0.087,-8.52270280095479
0.088,-8.33834091629423
0.089,-8.28361845111649
0.09,-8.38983631447721
0.091,-8.45580231445901
0.092,-8.47375555688823
0.093,-8.46844047718873
0.094,-8.3225204051631
0.095,-8.07119955603944
0.096,-7.84493259985922
0.097,-7.49295381646752
0.098,-7.1702878385617
0.099,-7.11844051007114
0.1,-7.21889671842719
0.101,-7.46880112318653
0.102,-7.6514890088004
0.103,-7.74597119183416
0.104,-7.90014342080409
0.105,-7.93149329514818
0.106,-7.83635130538649
0.107,-7.58708903582233
0.108,-7.48695029539272
0.109,-7.77834131113828
0.11,-7.95145312326905
0.111,-7.75256572665663
0.112,-7.32949891961465
0.113,-7.01304061455624
0.114,-7.10834273392977
0.115,-7.41829571047419
0.116,-7.49111464045884
0.117,-7.2610942071121
0.118,-7.16627408490118
0.119,-7.37674953904676
0.12,-7.59615934017398
0.121,-7.67852383237904
0.122,-7.69207460940815
0.123,-7.71785965029023
0.124,-7.8447742210777
0.125,-7.96044013878394
0.126,-8.04016104800618
0.127,-8.16147283544352
0.128,-8.14163921433157
0.129,-8.07908466317687
0.13,-8.05635835985667
0.131,-7.89049118759118
0.132,-7.68696199913128
0.133,-7.47296996955532
0.134,-7.27508715028921
0.135,-7.19449179290857
0.136,-7.13744023231827
0.137,-7.18522110101349
0.138,-7.23304811043083
0.139,-7.25732825435469
0.14,-7.5341070121154
0.141,-7.84617676295468
0.142,-8.14067138189692
0.143,-8.35431201729591
0.144,-8.27347294940245
0.145,-8.14382753214728
0.146,-7.96844923639543
0.147,-7.88565252586904
0.148,-7.99786825597723
0.149,-8.09674413189452
0.15,-8.20282019358156
0.151,-8.20291396795601
0.152,-8.23966838518689
0.153,-8.36354332284605
0.154,-8.38665718749557
0.155,-8.46249521214878
0.156,-8.46871790525863
0.157,-8.36769440642676
0.158,-8.29920835501752
0.159,-8.26881969893788
0.16,-8.33589125479764
0.161,-8.34461113785144
0.162,-8.28605096376795
0.163,-8.02669318269
0.164,-7.60360323566855
0.165,-7.4302764636967
0.166,-7.44098266804775
0.167,-7.63591590573147
0.168,-7.74637357471957
0.169,-7.50292042098992
0.17,-7.17820802977795
0.171,-6.88968682702092
0.172,-7.07313350136196
0.173,-7.71837920651034
0.174,-8.30758664950482
0.175,-8.5870003639677
0.176,-8.38670700490126
0.177,-8.16741928006737
0.178,-8.18841265602194
0.179,-8.38275479324573
0.18,-8.64745093228
0.181,-8.72015855940236
0.182,-8.76019681756342
0.183,-8.70365131766054
0.184,-8.58698601247391
0.185,-8.41274916712873
0.186,-8.0126366595512
0.187,-7.81660591937593
0.188,-7.79527882094889
0.189,-7.78779919706402
0.19,-7.98755720654391
0.191,-8.31270988372872
0.192,-8.60090393221218
0.193,-8.61138054357201
0.194,-8.52050848085558
0.195,-8.57517437389821
0.196,-8.67673531155456
0.197,-8.91396603402536
0.198,-9.0644043119542
0.199,-8.95562713849344
0.2,-8.88567549455056
0.201,-8.97722533008184
0.202,-8.96198040260795
0.203,-8.49590271958624
